iter	Passed	Remaining
0	4	490
1	9	449
2	13	442
3	16	406
4	20	392
5	23	360
6	25	335
7	27	311
8	28	293
9	30	274
10	32	259
11	33	246
12	34	232
13	36	221
14	37	211
15	38	201
16	39	193
17	40	185
18	41	178
19	42	171
20	43	164
21	44	158
22	45	153
23	46	147
24	47	142
25	48	137
26	49	132
27	49	128
28	50	124
29	51	120
30	52	116
31	52	112
32	53	109
33	54	105
34	55	103
35	56	100
36	57	97
37	57	94
38	58	91
39	59	89
40	60	86
41	60	83
42	61	81
43	62	78
44	62	76
45	63	74
46	64	72
47	65	70
48	66	68
49	66	66
50	67	64
51	68	63
52	69	61
53	69	59
54	70	57
55	71	55
56	71	54
57	72	52
58	73	50
59	74	49
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	87	26
77	88	24
78	89	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	102	4
96	103	3
97	104	2
98	105	1
99	105	0
